groupe,code_h,ligne,valeurs
Charge,2.4.2.4.,Autres charges - téléphone ascenseurs,"{'Réel Annuelle 2022': '955 €', 'Réel Annuelle 2023': '1042 €', 'Réel Annuelle 2024': '1113 €', 'Budget Annuelle 2025': '1131 €', 'Prévision Annuelle 2025': '1170 €', 'Budget Annuelle 2026': '1193 €'}"
Charge,2.4.3.,Contrat maintenance (Hors Syndic),"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '269 €', 'Budget Annuelle 2025': '27149 €', 'Prévision Annuelle 2025': '9050 €', 'Budget Annuelle 2026': '9231 €'}"
Charge,2.4.4.,ASSURANCE : (Immeuble para hotelier multirisque),"{'Réel Annuelle 2022': '11648 €', 'Réel Annuelle 2023': '12634 €', 'Réel Annuelle 2024': '11536 €', 'Budget Annuelle 2025': '11890 €', 'Prévision Annuelle 2025': '11546 €', 'Budget Annuelle 2026': '11777 €'}"
Charge,2.6.,REMISE EN ETAT PARTIES PRIVATIVES,"{'Réel Annuelle 2022': '148835 €', 'Réel Annuelle 2023': '74058 €', 'Réel Annuelle 2024': '32530 €', 'Budget Annuelle 2025': '14480 €', 'Prévision Annuelle 2025': '21994 €', 'Budget Annuelle 2026': '35000 €'}"
Charge,2.6.1.,Réparations Parties Privatives,"{'Réel Annuelle 2022': '115972 €', 'Réel Annuelle 2023': '77233 €', 'Réel Annuelle 2024': '32628 €', 'Budget Annuelle 2025': '14480 €', 'Prévision Annuelle 2025': '25893 €', 'Budget Annuelle 2026': '35000 €'}"
Charge,2.6.2.,Electroménager (605),"{'Réel Annuelle 2022': '8517 €', 'Réel Annuelle 2023': '4970 €', 'Réel Annuelle 2024': '3417 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '5368 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.6.3.,"Mobilier, équipement (renouvellement)","{'Réel Annuelle 2022': '36938 €', 'Réel Annuelle 2023': '13015 €', 'Réel Annuelle 2024': '12694 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '2332 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.6.4.,Récupération sur les locataires,"{'Réel Annuelle 2022': '-12591 €', 'Réel Annuelle 2023': '-21160 €', 'Réel Annuelle 2024': '-16209 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '-11598 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.7.,REMISE EN ETAT PARTIES COMMUNES,"{'Réel Annuelle 2022': '5952 €', 'Réel Annuelle 2023': '17505 €', 'Réel Annuelle 2024': '24998 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '45476 €', 'Budget Annuelle 2026': '5000 €'}"
Charge,2.7.1.,Réparation Partie Commune (Syndic + Résidence),"{'Réel Annuelle 2022': '5952 €', 'Réel Annuelle 2023': '17505 €', 'Réel Annuelle 2024': '24998 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '45476 €', 'Budget Annuelle 2026': '5000 €'}"
